code,dividend,count,record_months,fetched_date,monthly,source
1481,79.0,2,,2026-08-12,39;0;0;0;0;0;40;0;0;0;0;0,yfinance
1482,68.0,4,,2026-08-12,16;0;0;18;0;0;17;0;0;17;0;0,yfinance
1483,75.0,2,,2026-08-12,0;34;0;0;0;0;0;41;0;0;0;0,yfinance
1484,75.80000000000001,2,,2026-08-12,35.1;0;0;0;0;0;40.7;0;0;0;0;0,yfinance
1485,803.0,2,,2026-08-12,346;0;0;0;0;0;457;0;0;0;0;0,yfinance
1486,1295.0,2,,2026-08-12,600;0;0;0;0;0;695;0;0;0;0;0,yfinance
1487,556.0,2,,2026-08-12,278;0;0;0;0;0;278;0;0;0;0;0,yfinance
1488,88.0,4,,2026-08-12,0;0;32;0;0;14;0;0;29;0;0;13,yfinance
1489,94.0,4,,2026-08-12,8;0;0;38;0;0;9;0;0;39;0;0,yfinance
1490,166.0,4,,2026-08-12,5;0;0;75;0;0;11;0;0;75;0;0,yfinance
1493,439.0,2,,2026-08-12,332;0;0;0;0;0;107;0;0;0;0;0,yfinance
1494,1255.0,2,,2026-08-12,0;0;0;688;0;0;0;0;0;567;0;0,yfinance
1495,622.0,5,,2026-08-12,134;0;0;90;0;0;282;0;0;116;0;0,yfinance
1496,76.0,4,,2026-08-12,19;0;0;20;0;0;18;0;0;19;0;0,yfinance
1497,104.0,4,,2026-08-12,26;0;0;26;0;0;26;0;0;26;0;0,yfinance
1498,560.0,2,,2026-08-12,273;0;0;0;0;0;287;0;0;0;0;0,yfinance
1499,272.0,4,,2026-08-12,18;0;0;116;0;0;18;0;0;120;0;0,yfinance
1545,0.6,1,,2026-08-12,0;0;0;0;0;0;0;0.6;0;0;0;0,yfinance
1546,756.0,1,,2026-08-12,0;0;0;0;0;0;0;756;0;0;0;0,yfinance
1547,109.0,1,,2026-08-12,109;0;0;0;0;0;0;0;0;0;0;0,yfinance
1550,85.0,2,,2026-08-12,0;0;0;0;0;51;0;0;0;0;0;34,yfinance
1551,90.0,1,,2026-08-12,0;0;0;0;0;0;90;0;0;0;0;0,yfinance
1554,70.0,1,,2026-08-12,70;0;0;0;0;0;0;0;0;0;0;0,yfinance
1555,51.0,6,,2026-08-12,8;0;9;0;8;0;9;0;8;0;9;0,yfinance
1557,1177.08058,4,,2026-08-12,0;0;286.18106;0;0;306.1996;0;0;270.79428;0;0;313.90564,yfinance
1559,158.0,1,,2026-08-12,0;0;0;0;0;0;0;158;0;0;0;0,yfinance
1560,212.0,1,,2026-08-12,0;0;0;0;0;0;0;212;0;0;0;0,yfinance
1566,2758.0,6,,2026-08-12,474;0;470;0;485;0;485;0;422;0;422;0,yfinance
1577,1529.0,4,,2026-08-12,83;0;0;720;0;0;100;0;0;626;0;0,yfinance
1578,60.0,2,,2026-08-12,29;0;0;0;0;0;31;0;0;0;0;0,yfinance
1585,35.1,2,,2026-08-12,11.9;0;0;0;0;0;23.2;0;0;0;0;0,yfinance
1586,58.0,2,,2026-08-12,35;0;0;0;0;0;23;0;0;0;0;0,yfinance
1591,639.0,2,,2026-08-12,0;0;0;331;0;0;0;0;0;308;0;0,yfinance
1592,59.0,2,,2026-08-13,28;0;0;0;0;0;31;0;0;0;0;0,yfinance
1593,673.0,2,,2026-08-13,312;0;0;0;0;0;361;0;0;0;0;0,yfinance
1595,88.5,4,,2026-08-13,20.4;0;0;25.7;0;0;17.6;0;0;24.8;0;0,yfinance
1596,41.7,2,,2026-08-13,24.3;0;0;0;0;0;17.4;0;0;0;0;0,yfinance
1597,88.0,4,,2026-08-13,0;0;33;0;0;13;0;0;28;0;0;14,yfinance
1599,624.0,2,,2026-08-13,292;0;0;0;0;0;332;0;0;0;0;0,yfinance
159A,10.7,2,,2026-08-13,0;0;0;5.4;0;0;0;0;0;5.3;0;0,yfinance
1615,20.9,1,,2026-08-13,0;0;0;0;0;0;20.9;0;0;0;0;0,yfinance
1617,1036.0,1,,2026-08-13,0;0;0;0;0;0;1036;0;0;0;0;0,yfinance
1618,742.0,1,,2026-08-13,0;0;0;0;0;0;742;0;0;0;0;0,yfinance
1619,809.0,1,,2026-08-13,0;0;0;0;0;0;809;0;0;0;0;0,yfinance
1620,558.0,1,,2026-08-13,0;0;0;0;0;0;558;0;0;0;0;0,yfinance
1621,697.0,1,,2026-08-13,0;0;0;0;0;0;697;0;0;0;0;0,yfinance
1622,572.0,1,,2026-08-13,0;0;0;0;0;0;572;0;0;0;0;0,yfinance
1623,557.0,1,,2026-08-13,0;0;0;0;0;0;557;0;0;0;0;0,yfinance
1624,760.0,1,,2026-08-13,0;0;0;0;0;0;760;0;0;0;0;0,yfinance
1625,296.0,1,,2026-08-13,0;0;0;0;0;0;296;0;0;0;0;0,yfinance
1626,518.0,1,,2026-08-13,0;0;0;0;0;0;518;0;0;0;0;0,yfinance
1627,168.0,1,,2026-08-13,0;0;0;0;0;0;168;0;0;0;0;0,yfinance
1628,653.0,1,,2026-08-13,0;0;0;0;0;0;653;0;0;0;0;0,yfinance
1629,2.4,1,,2026-08-13,0;0;0;0;0;0;2.4;0;0;0;0;0,yfinance
1630,548.0,1,,2026-08-13,0;0;0;0;0;0;548;0;0;0;0;0,yfinance
1631,768.0,1,,2026-08-13,0;0;0;0;0;0;768;0;0;0;0;0,yfinance
1632,1112.0,1,,2026-08-13,0;0;0;0;0;0;1112;0;0;0;0;0,yfinance
1633,758.0,1,,2026-08-13,0;0;0;0;0;0;758;0;0;0;0;0,yfinance
1651,76.0,4,,2026-08-13,0;2;0;0;36;0;0;5;0;0;33;0,yfinance
1652,93.1,2,,2026-08-13,48.6;0;0;0;0;0;44.5;0;0;0;0;0,yfinance
1653,83.7,2,,2026-08-13,38.2;0;0;0;0;0;45.5;0;0;0;0;0,yfinance
1654,71.0,2,,2026-08-13,31.4;0;0;0;0;0;39.6;0;0;0;0;0,yfinance
1655,7.4,2,,2026-08-13,0;4;0;0;0;0;0;3.4;0;0;0;0,yfinance
1656,11.7,4,,2026-08-13,2.8;0;0;3.4;0;0;3;0;0;2.5;0;0,yfinance
1657,77.0,2,,2026-08-13,0;38;0;0;0;0;0;39;0;0;0;0,yfinance
1658,75.0,2,,2026-08-13,0;49;0;0;0;0;0;26;0;0;0;0,yfinance
1659,81.0,4,,2026-08-13,0;34;0;0;9;0;0;18;0;0;20;0,yfinance
1660,490.0,4,,2026-08-13,127;0;0;142;0;0;106;0;0;115;0;0,yfinance
1677,1636.0,12,,2026-08-13,132;131;132;137;140;148;148;149;128;128;130;133,yfinance
1678,9.4,1,,2026-08-13,0;0;0;0;0;0;0;9.4;0;0;0;0,yfinance
1679,960.0,1,,2026-08-13,0;0;0;0;0;0;0;0;0;0;0;960,yfinance
1680,82.0,1,,2026-08-13,82;0;0;0;0;0;0;0;0;0;0;0,yfinance
1681,53.0,1,,2026-08-13,53;0;0;0;0;0;0;0;0;0;0;0,yfinance
1698,121.0,4,,2026-08-13,31;0;0;31;0;0;32;0;0;27;0;0,yfinance
170A,61.0,3,,2026-08-13,0;0;0;31;0;0;3;0;0;27;0;0,yfinance
178A,3.0,1,,2026-08-13,0;0;0;0;0;0;0;0;3;0;0;0,yfinance
179A,11.099999999999998,4,,2026-08-13,0;2.7;0;0;2.7;0;0;2.8;0;0;2.9;0,yfinance
180A,12.399999999999999,4,,2026-08-13,0;3.3;0;0;3.3;0;0;2.8;0;0;3;0,yfinance
181A,13.099999999999998,4,,2026-08-13,0;2.8;0;0;3.1;0;0;4.3;0;0;2.9;0,yfinance
182A,20.4,4,,2026-08-13,0;5.1;0;0;5.7;0;0;5;0;0;4.6;0,yfinance
183A,19.299999999999997,4,,2026-08-13,0;4.9;0;0;4.8;0;0;4.6;0;0;5;0,yfinance
188A,8.0,2,,2026-08-13,0;0;0;0;0;3;0;0;0;0;0;5,yfinance
200A,25.0,2,,2026-08-13,0;0;0;14;0;0;0;0;0;11;0;0,yfinance
2011,21.6,2,,2026-08-14,0;0;0;0;11.3;0;0;0;0;0;10.3;0,yfinance
2013,8.4,4,,2026-08-14,0;2.2;0;0;2.1;0;0;2.4;0;0;1.7;0,yfinance
2014,4.9,4,,2026-08-14,0;1.4;0;0;1.1;0;0;1.1;0;0;1.3;0,yfinance
2015,74.0,4,,2026-08-14,0;15;0;0;19;0;0;19;0;0;21;0,yfinance
2016,71.0,4,,2026-08-14,0;18;0;0;16;0;0;18;0;0;19;0,yfinance
2017,22.0,2,,2026-08-14,0;0;0;11;0;0;0;0;0;11;0;0,yfinance
2018,30.0,6,,2026-08-14,0;2;0;6;0;8;0;2;0;6;0;6,yfinance
2019,56.0,6,,2026-08-14,9;0;10;0;9;0;10;0;9;0;9;0,yfinance
201A,1.2,2,,2026-08-14,0;0.6;0;0;0;0;0;0.6;0;0;0;0,yfinance
2080,42.03,1,,2026-08-14,0;0;0;0;0;0;0;0;42.03;0;0;0,yfinance
2081,22.94,1,,2026-08-14,0;0;0;0;0;0;0;0;22.94;0;0;0,yfinance
2083,35.0,2,,2026-08-14,15;0;0;0;0;0;20;0;0;0;0;0,yfinance
2084,85.0,4,,2026-08-14,2;0;0;45;0;0;3;0;0;35;0;0,yfinance
2085,23.4,3,,2026-08-14,1.4;0;0;12;0;0;0;0;0;10;0;0,yfinance
2086,28.8,2,,2026-08-14,0;0;0;14.9;0;0;0;0;0;13.9;0;0,yfinance
2087,11.8,2,,2026-08-14,0;0;0;5.9;0;0;0;0;0;5.9;0;0,yfinance
2088,34.0,2,,2026-08-14,0;0;0;14.4;0;0;0;0;0;19.6;0;0,yfinance
2089,18.1,1,,2026-08-14,0;0;0;0;0;0;0;0;0;0;18.1;0,yfinance
2090,140.60000000000002,2,,2026-08-14,0;0;0;0;67.9;0;0;0;0;0;72.7;0,yfinance
2091,100.7,2,,2026-08-14,0;0;0;0;51.5;0;0;0;0;0;49.2;0,yfinance
2092,136.5,2,,2026-08-14,0;0;0;0;70;0;0;0;0;0;66.5;0,yfinance
